Date,Class,Description
"(datetime.datetime(238, 8, 8, 0, 0), 'ON 238')",GameTheory,"ECON 238   (Economic Development)
"
"(datetime.datetime(2017, 8, 8, 0, 0), '2017')",GameTheory,"Spring 2017, Department of Economics, Colgate University
"
"(datetime.datetime(2017, 8, 8, 0, 0), 'Tuesday')",GameTheory,"Office Hours: Tuesday and Wednesday, 1pm to 3pm, or by appointment
"
"(datetime.datetime(2017, 8, 9, 15, 0), 'Wednesday, 1pm to 3pm')",GameTheory,"Office Hours: Tuesday and Wednesday, 1pm to 3pm, or by appointment
"
"(datetime.datetime(304, 8, 8, 0, 0), '304')",GameTheory,"Classroom: OLIN 304
"
"(datetime.datetime(2017, 8, 8, 8, 30, tzinfo=tzoffset(None, -35100)), '8:30-9:45 am on Tuesday')",GameTheory,"Meetings:  238A meets from 8:30-9:45 am on Tuesdays and Thursdays, and 238B meets from 9:55-11:10 am on Tuesdays and Thursdays
"
"(datetime.datetime(2017, 8, 8, 9, 55, tzinfo=tzoffset(None, -40200)), '9:55-11:10 am on Tuesday')",GameTheory,"Meetings:  238A meets from 8:30-9:45 am on Tuesdays and Thursdays, and 238B meets from 9:55-11:10 am on Tuesdays and Thursdays
"
"(datetime.datetime(2017, 3, 7, 0, 0), 'of March 7')",GameTheory,"The midterm will take place in class during the week of March 7. The exact date will be announced as soon as possible. If you have extenuating scheduling conflicts, please talk to me well in advance so that a make-up exam can be scheduled before the midterm week. 
"
"(datetime.datetime(2017, 4, 28, 17, 0), 'due on April 28 by 5 pm')",GameTheory,"The report is due on April 28 by 5 pm.
"
"(datetime.datetime(2017, 5, 8, 0, 0), 'may')",GameTheory,"Please let me know if you have a particular need or concern. If you are a student who may need special accommodations, you can contact Lynn Waldman, Director of Academic Program Support and Disability Services at the Center for Learning, Teaching and Research (315-228-7375). The center is also open to all students who would like academic assistance. 
"
"(datetime.datetime(2017, 1, 24, 0, 0), 'Jan 24')",GameTheory,"Jan 24
"
"(datetime.datetime(2017, 1, 26, 0, 0), 'Jan 26')",GameTheory,"Jan 26
"
"(datetime.datetime(2017, 1, 31, 0, 0), 'Jan 31')",GameTheory,"Jan 31
"
"(datetime.datetime(2017, 2, 2, 0, 0), 'Feb 2')",GameTheory,"Feb 2
"
"(datetime.datetime(2017, 2, 7, 0, 0), 'Feb 7')",GameTheory,"Feb 7
"
"(datetime.datetime(2017, 2, 9, 0, 0), 'Feb 9')",GameTheory,"Feb 9
"
"(datetime.datetime(2017, 2, 14, 0, 0), 'Feb 14')",GameTheory,"Feb 14
"
"(datetime.datetime(2017, 2, 16, 0, 0), 'Feb 16')",GameTheory,"Feb 16 
"
"(datetime.datetime(2017, 2, 21, 0, 0), 'Feb 21')",GameTheory,"Feb 21
"
"(datetime.datetime(2017, 2, 23, 0, 0), 'Feb 23')",GameTheory,"Feb 23
"
"(datetime.datetime(2017, 2, 28, 0, 0), 'Feb 28')",GameTheory,"Feb 28
"
"(datetime.datetime(2017, 3, 2, 0, 0), 'March 2')",GameTheory,"March 2
"
"(datetime.datetime(2017, 3, 7, 0, 0), 'March 7')",GameTheory,"March 7
"
"(datetime.datetime(2017, 3, 9, 0, 0), 'March 9')",GameTheory,"March 9
"
"(datetime.datetime(2017, 3, 21, 0, 0), 'March 21')",GameTheory,"March 21
"
"(datetime.datetime(2017, 3, 23, 0, 0), 'March 23')",GameTheory,"March 23
"
"(datetime.datetime(2017, 3, 28, 0, 0), 'March 28')",GameTheory,"March 28
"
"(datetime.datetime(2017, 3, 30, 0, 0), 'March 30')",GameTheory,"March 30
"
"(datetime.datetime(2017, 4, 4, 0, 0), 'April 4')",GameTheory,"April 4
"
"(datetime.datetime(2017, 3, 8, 0, 0), 't Mar')",GameTheory,"Credit Market
"
"(datetime.datetime(2017, 4, 6, 0, 0), 'April 6')",GameTheory,"April 6
"
"(datetime.datetime(2017, 4, 11, 0, 0), 'April 11')",GameTheory,"April 11
"
"(datetime.datetime(2017, 4, 13, 0, 0), 'April 13')",GameTheory,"April 13
"
"(datetime.datetime(2017, 4, 18, 0, 0), 'April 18')",GameTheory,"April 18
"
"(datetime.datetime(2017, 4, 20, 0, 0), 'April 20')",GameTheory,"April 20
"
"(datetime.datetime(2017, 4, 25, 0, 0), 'April 25')",GameTheory,"April 25
"
"(datetime.datetime(2017, 4, 27, 0, 0), 'April 27')",GameTheory,"April 27
"
"(datetime.datetime(2017, 5, 2, 0, 0), 'May 2')",GameTheory,"May 2
"
"(datetime.datetime(2017, 5, 4, 0, 0), 'May 4')",GameTheory,"May 4
"
